"VIN","County","City","Year","Make","Model","Range"
"5YJ3E1EA7J","King","Kenmore",2018,"WallE","Alpha",215
"5YJXCBE27H","Clark","Vancouver",2017,"WallE","Delta",200
"5YJSA1CN9D","Clark","Vancouver",2013,"WallE","Beta",208
"5YJ3E1EA3K","King","Seattle",2019,"WallE","Alpha",220
"5YJSA1E25K","King","Snoqualmie",2019,"WallE","Beta",270
"5YJ3E1EA0J","Clark","Battle Ground",2018,"WallE","Alpha",215
"5YJ3E1EB2K","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EA9K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB9J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EB9L","King","Issaquah",2020,"WallE","Alpha",322
"5YJ3E1EA2J","Kitsap","Suquamish",2018,"WallE","Alpha",215
"5YJSA1H17E","King","Maple Valley",2014,"WallE","Beta",208
"5YJYGDEE4L","King","Sammamish",2020,"WallE","Omega",291
"5YJSA1E45G","King","Sammamish",2016,"WallE","Beta",210
"5YJ3E1EBXJ","King","Auburn",2018,"WallE","Alpha",215
"5YJYGDEE3L","Clark","Camas",2020,"WallE","Omega",291
"5YJ3E1EBXK","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EAXJ","Cowlitz","Kelso",2018,"WallE","Alpha",215
"5YJ3E1EB0K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EA2L","King","Sammamish",2020,"WallE","Alpha",266
"5YJ3E1EB5J","Clark","Vancouver",2018,"WallE","Alpha",215
"5YJSA1E29J","King","Sammamish",2018,"WallE","Beta",249
"5YJSA1E26J","King","Bellevue",2018,"WallE","Beta",249
"5YJ3E1EA4K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB7K","Clark","Ridgefield",2019,"WallE","Alpha",220
"5YJ3E1EA9J","King","Sammamish",2018,"WallE","Alpha",215
"5YJXCDE28J","Thurston","Olympia",2018,"WallE","Delta",238
"5YJXCBE28L","King","Seattle",2020,"WallE","Delta",293
"5YJYGDEE3L","King","Bellevue",2020,"WallE","Omega",291
"5YJXCBE24J","King","Renton",2018,"WallE","Delta",238
"5YJ3E1EB4K","King","Issaquah",2019,"WallE","Alpha",220
"5YJ3E1EB0J","King","Lake Forest Park",2018,"WallE","Alpha",215
"5YJ3E1EAXK","King","Kent",2019,"WallE","Alpha",220
"5YJ3E1EB2J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB3K","Clark","Battle Ground",2019,"WallE","Alpha",220
"5YJ3E1EB0L","Klickitat","White Salmon",2020,"WallE","Alpha",322
"5YJXCDE23J","Snohomish","Bothell",2018,"WallE","Delta",238
"5YJ3E1EA9L","King","Redmond",2020,"WallE","Alpha",266
"5YJSA1CN6D","King","Sammamish",2013,"WallE","Beta",208
"5YJSA1DN9D","King","Enumclaw",2013,"WallE","Beta",208
"5YJ3E1EA7J","King","Woodinville",2018,"WallE","Alpha",215
"5YJ3E1EB3L","Clark","Battle Ground",2020,"WallE","Alpha",322
"5YJ3E1EA7J","King","Bellevue",2018,"WallE","Alpha",215
"5YJSA1CN8D","Kitsap","Silverdale",2013,"WallE","Beta",208
"5YJ3E1EA0K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EBXJ","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EB5K","King","Sammamish",2019,"WallE","Alpha",220
"5YJSA1E20L","King","Seattle",2020,"WallE","Beta",330
"5YJ3E1EA3J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB0J","Kitsap","Poulsbo",2018,"WallE","Alpha",215
"5YJ3E1EB6J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB4J","King","Shoreline",2018,"WallE","Alpha",215
"5YJYGDEF5L","Clark","Vancouver",2020,"WallE","Omega",291
"5YJ3E1EB8J","King","Sammamish",2018,"WallE","Alpha",215
"5YJSA1E2XL","King","Seattle",2020,"WallE","Beta",330
"5YJ3E1EB8K","Clark","Yacolt",2019,"WallE","Alpha",220
"5YJ3E1EB1J","King","Kent",2018,"WallE","Alpha",215
"5YJYGDEEXL","King","Snoqualmie",2020,"WallE","Omega",291
"5YJ3E1EA4J","King","Shoreline",2018,"WallE","Alpha",215
"5YJ3E1EA2K","King","Woodinville",2019,"WallE","Alpha",220
"5YJSA1E23J","King","Seattle",2018,"WallE","Beta",249
"5YJXCBE23L","King","Bellevue",2020,"WallE","Delta",293
"5YJ3E1EB6J","King","Redmond",2018,"WallE","Alpha",215
"5YJ3E1EB3J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EB0J","King","Issaquah",2018,"WallE","Alpha",215
"5YJ3E1EC4L","King","Issaquah",2020,"WallE","Alpha",308
"5YJ3E1EA3J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EB6J","Yakima","Zillah",2018,"WallE","Alpha",215
"5YJXCBE26G","King","Seatac",2016,"WallE","Delta",200
"5YJ3E1EB0K","King","Kirkland",2019,"WallE","Alpha",220
"5YJXCBE48G","King","Seattle",2016,"WallE","Delta",200
"5YJYGDEF8L","King","Issaquah",2020,"WallE","Omega",291
"5YJ3E1EBXJ","Snohomish","Bothell",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB9K","King","Sammamish",2019,"WallE","Alpha",220
"5YJSA1E22J","Clark","Vancouver",2018,"WallE","Beta",249
"5YJSA1E4XJ","King","Sammamish",2018,"WallE","Beta",249
"5YJSA1E27L","Kitsap","Port Orchard",2020,"WallE","Beta",330
"5YJ3E1EB5J","Yakima","Yakima",2018,"WallE","Alpha",215
"5YJXCAE21G","Pierce","Tacoma",2016,"WallE","Delta",200
"5YJSA1E21H","King","Seattle",2017,"WallE","Beta",210
"5YJSA1E21L","Thurston","Olympia",2020,"WallE","Beta",330
"5YJSA1E26H","Clark","Brush Prairie",2017,"WallE","Beta",210
"5YJ3E1EA5K","King","Bothell",2019,"WallE","Alpha",220
"5YJ3E1EB6J","Klickitat","Goldendale",2018,"WallE","Alpha",215
"5YJ3E1EA9J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Woodinville",2018,"WallE","Alpha",215
"5YJ3E1EA2K","King","Kirkland",2019,"WallE","Alpha",220
"5YJSA1V20F","Cowlitz","Woodland",2015,"WallE","Beta",208
"5YJ3E1EA9J","King","Covington",2018,"WallE","Alpha",215
"5YJ3E1EB4J","Snohomish","Snohomish",2018,"WallE","Alpha",215
"5YJ3E1EAXL","Clark","Brush Prairie",2020,"WallE","Alpha",266
"5YJXCBE22H","King","Clyde Hill",2017,"WallE","Delta",200
"5YJSA1E24F","King","Bellevue",2015,"WallE","Beta",208
"5YJSA1E41G","King","Bellevue",2016,"WallE","Beta",210
"5YJ3E1EA4K","King","Pacific",2019,"WallE","Alpha",220
"5YJSA1E20J","Thurston","Yelm",2018,"WallE","Beta",249
"5YJ3E1EA8K","Kitsap","Poulsbo",2019,"WallE","Alpha",220
"5YJ3E1EB3J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB9J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB3K","King","Auburn",2019,"WallE","Alpha",220
"5YJSA1E29G","King","Lake Forest Park",2016,"WallE","Beta",210
"5YJ3E1EB4J","Thurston","Olympia",2018,"WallE","Alpha",215
"5YJ3E1EBXK","Snohomish","Bothell",2019,"WallE","Alpha",220
"5YJXCBE28H","Clark","Camas",2017,"WallE","Delta",200
"5YJ3E1EA5J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB3L","King","Kirkland",2020,"WallE","Alpha",322
"5YJ3E1EB2K","Yakima","Zillah",2019,"WallE","Alpha",220
"5YJSA1E22H","King","Clyde Hill",2017,"WallE","Beta",210
"5YJ3E1EA4J","King","Woodinville",2018,"WallE","Alpha",215
"5YJ3E1EA7K","King","Sammamish",2019,"WallE","Alpha",220
"5YJXCBE25H","King","Kirkland",2017,"WallE","Delta",200
"5YJ3E1EB3J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EA0K","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EBXK","King","Shoreline",2019,"WallE","Alpha",220
"5YJ3E1EB4J","King","Issaquah",2018,"WallE","Alpha",215
"5YJ3E1EB8L","Clark","Camas",2020,"WallE","Alpha",322
"5YJ3E1EB7L","King","Snoqualmie",2020,"WallE","Alpha",322
"5YJ3E1EB5J","King","Redmond",2018,"WallE","Alpha",215
"5YJSA1E26L","Yakima","Toppenish",2020,"WallE","Beta",330
"5YJ3E1EB9J","Snohomish","Lynnwood",2018,"WallE","Alpha",215
"5YJSA1S25F","King","Maple Valley",2015,"WallE","Beta",208
"5YJSA1H17E","Clark","Vancouver",2014,"WallE","Beta",208
"5YJSA1H19E","King","Bellevue",2014,"WallE","Beta",208
"5YJ3E1EA3J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EB3K","King","Issaquah",2019,"WallE","Alpha",220
"5YJXCBE23J","King","Sammamish",2018,"WallE","Delta",238
"5YJ3E1EB2L","King","Kenmore",2020,"WallE","Alpha",322
"5YJ3E1EB3L","King","Seattle",2020,"WallE","Alpha",322
"5YJSA1E26K","King","Des Moines",2019,"WallE","Beta",270
"5YJXCBE23L","King","Seatac",2020,"WallE","Delta",293
"5YJSA1CN2D","King","Kenmore",2013,"WallE","Beta",208
"5YJ3E1EA4J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB6L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EB0K","King","Shoreline",2019,"WallE","Alpha",220
"5YJXCDE21K","King","Renton",2019,"WallE","Delta",289
"5YJYGDEE8L","King","Seattle",2020,"WallE","Omega",291
"5YJ3E1EA5J","King","Sammamish",2018,"WallE","Alpha",215
"5YJYGDEE9L","King","Bellevue",2020,"WallE","Omega",291
"5YJ3E1ECXL","Clark","Vancouver",2020,"WallE","Alpha",308
"5YJXCDE22J","Snohomish","Lynnwood",2018,"WallE","Delta",238
"5YJSA1E22G","Snohomish","Bothell",2016,"WallE","Beta",210
"5YJ3E1EAXL","King","Sammamish",2020,"WallE","Alpha",266
"5YJXCBE20L","King","Sammamish",2020,"WallE","Delta",293
"5YJ3E1EB4J","King","Lake Forest Park",2018,"WallE","Alpha",215
"5YJ3E1EC7L","Pierce","Gig Harbor",2020,"WallE","Alpha",308
"5YJXCBE20K","Clark","Camas",2019,"WallE","Delta",289
"5YJYGDEE2L","King","Seattle",2020,"WallE","Omega",291
"5YJ3E1EA5J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EA8L","King","Seattle",2020,"WallE","Alpha",266
"5YJ3E1EB4K","Snohomish","Brier",2019,"WallE","Alpha",220
"5YJ3E1EB5J","King","Sammamish",2018,"WallE","Alpha",215
"5YJSA1E29H","King","Federal Way",2017,"WallE","Beta",210
"5YJYGDEE5L","Clark","Camas",2020,"WallE","Omega",291
"5YJSA1E44G","Thurston","Lacey",2016,"WallE","Beta",210
"5YJXCAE29G","King","Lake Forest Park",2016,"WallE","Delta",200
"5YJXCBE21H","King","Shoreline",2017,"WallE","Delta",200
"5YJSA1E21F","Jefferson","Port Townsend",2015,"WallE","Beta",208
"5YJ3E1EA6K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EB9K","Clark","Brush Prairie",2019,"WallE","Alpha",220
"5YJ3E1EB3K","Snohomish","Lake Stevens",2019,"WallE","Alpha",220
"5YJ3E1EA3K","King","Issaquah",2019,"WallE","Alpha",220
"5YJXCDE25H","King","Seattle",2017,"WallE","Delta",200
"5YJSA1E29H","King","Bellevue",2017,"WallE","Beta",210
"5YJ3E1EB7L","King","Issaquah",2020,"WallE","Alpha",322
"5YJ3E1EB5L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EB4K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB8J","King","Shoreline",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Issaquah",2018,"WallE","Alpha",215
"5YJYGDEEXL","King","Maple Valley",2020,"WallE","Omega",291
"5YJ3E1EA5K","King","Shoreline",2019,"WallE","Alpha",220
"5YJSA1E28F","King","Lake Forest Park",2015,"WallE","Beta",208
"5YJ3E1EA1J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB1J","Kitsap","Poulsbo",2018,"WallE","Alpha",215
"5YJSA1DP1D","King","Seattle",2013,"WallE","Beta",208
"5YJSA1E47J","King","Bellevue",2018,"WallE","Beta",249
"5YJ3E1EC1L","King","Kirkland",2020,"WallE","Alpha",308
"5YJSA1E29J","King","Kent",2018,"WallE","Beta",249
"5YJ3E1EA2J","King","Burien",2018,"WallE","Alpha",215
"5YJSA1E40J","King","Black Diamond",2018,"WallE","Beta",249
"5YJ3E1EA2L","King","Maple Valley",2020,"WallE","Alpha",266
"5YJ3E1EA6J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB5J","King","Covington",2018,"WallE","Alpha",215
"5YJ3E1EC9L","King","Kirkland",2020,"WallE","Alpha",308
"5YJ3E1EB1K","King","Shoreline",2019,"WallE","Alpha",220
"5YJ3E1EB1J","Cowlitz","Woodland",2018,"WallE","Alpha",215
"5YJ3E1EAXJ","Kitsap","Kingston",2018,"WallE","Alpha",215
"5YJ3E1EA2L","King","Seattle",2020,"WallE","Alpha",266
"5YJSA1E44J","Snohomish","Bothell",2018,"WallE","Beta",249
"5YJ3E1EB7J","King","Bothell",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Sammamish",2018,"WallE","Alpha",215
"5YJXCBE28G","King","Kent",2016,"WallE","Delta",200
"5YJ3E1EB6K","Okanogan","Brewster",2019,"WallE","Alpha",220
"5YJSA1E47L","King","Kent",2020,"WallE","Beta",337
"5YJ3E1EA0L","King","Shoreline",2020,"WallE","Alpha",266
"5YJYGDEE2L","King","Bellevue",2020,"WallE","Omega",291
"5YJ3E1EA6J","Clark","Battle Ground",2018,"WallE","Alpha",215
"5YJSA1H21F","Clark","Vancouver",2015,"WallE","Beta",208
"5YJ3E1EA8K","Clark","Vancouver",2019,"WallE","Alpha",220
"5YJ3E1EA4L","Yakima","Yakima",2020,"WallE","Alpha",266
"5YJ3E1EB2J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB3L","Clark","Vancouver",2020,"WallE","Alpha",322
"5YJ3E1EB1J","Clark","Washougal",2018,"WallE","Alpha",215
"5YJ3E1EB1J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EBXL","King","Sammamish",2020,"WallE","Alpha",322
"5YJXCAE25L","King","Sammamish",2020,"WallE","Delta",293
"5YJ3E1EB0J","King","Redmond",2018,"WallE","Alpha",215
"5YJSA1E21L","Cowlitz","Kelso",2020,"WallE","Beta",330
"5YJSA1E26L","King","Seattle",2020,"WallE","Beta",330
"5YJSA1E22G","King","Des Moines",2016,"WallE","Beta",210
"5YJ3E1EA2J","King","Maple Valley",2018,"WallE","Alpha",215
"5YJ3E1EA9J","King","Redmond",2018,"WallE","Alpha",215
"5YJ3E1EAXJ","Clark","Ridgefield",2018,"WallE","Alpha",215
"5YJYGDEE6L","King","Kirkland",2020,"WallE","Omega",291
"5YJXCAE25L","Snohomish","Bothell",2020,"WallE","Delta",293
"5YJ3E1EB2J","King","Kent",2018,"WallE","Alpha",215
"5YJYGDEEXL","King","Seattle",2020,"WallE","Omega",291
"5YJSA1CN2D","King","Bellevue",2013,"WallE","Beta",208
"5YJ3E1EB4J","King","Normandy Park",2018,"WallE","Alpha",215
"5YJXCAE26G","Snohomish","Everett",2016,"WallE","Delta",200
"5YJ3E1EB0J","Kitsap","Poulsbo",2018,"WallE","Alpha",215
"5YJ3E1EA3K","King","Lake Forest Park",2019,"WallE","Alpha",220
"5YJ3E1EA4L","King","Maple Valley",2020,"WallE","Alpha",266
"5YJ3E1EB1J","King","Seattle",2018,"WallE","Alpha",215
"5YJYGDEE9L","Kitsap","Port Orchard",2020,"WallE","Omega",291
"5YJ3E1EA0J","King","Lake Forest Park",2018,"WallE","Alpha",215
"5YJXCBE25J","Snohomish","Bothell",2018,"WallE","Delta",238
"5YJXCDE24L","King","Mercer Island",2020,"WallE","Delta",289
"5YJSA1DP9D","King","Seatac",2013,"WallE","Beta",208
"5YJ3E1EA5K","Snohomish","Lynnwood",2019,"WallE","Alpha",220
"5YJXCAE47G","King","Sammamish",2016,"WallE","Delta",200
"5YJ3E1EA3J","King","Maple Valley",2018,"WallE","Alpha",215
"5YJSA1E26F","Jefferson","Nordland",2015,"WallE","Beta",208
"5YJ3E1EB9L","King","Issaquah",2020,"WallE","Alpha",322
"5YJ3E1EB3K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EA9J","King","Bellevue",2018,"WallE","Alpha",215
"5YJXCBE24J","Snohomish","Bothell",2018,"WallE","Delta",238
"5YJ3E1EB7J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB1K","King","Sammamish",2019,"WallE","Alpha",220
"5YJXCAE27L","King","Sammamish",2020,"WallE","Delta",293
"5YJSA1E24G","King","Bellevue",2016,"WallE","Beta",210
"5YJ3E1EA4K","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EA9K","King","Issaquah",2019,"WallE","Alpha",220
"5YJXCAE26H","King","Kent",2017,"WallE","Delta",200
"5YJ3E1EAXL","King","Redmond",2020,"WallE","Alpha",266
"5YJSA1H16E","King","Renton",2014,"WallE","Beta",208
"5YJYGDEE3L","Clark","Battle Ground",2020,"WallE","Omega",291
"5YJSA1E47L","King","Sammamish",2020,"WallE","Beta",337
"5YJ3E1EA8J","King","Auburn",2018,"WallE","Alpha",215
"5YJSA1E48H","King","Seattle",2017,"WallE","Beta",210
"5YJXCBE28K","King","Clyde Hill",2019,"WallE","Delta",289
"5YJ3E1EB5J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB4K","Kitsap","Port Orchard",2019,"WallE","Alpha",220
"5YJ3E1EB5J","King","Sammamish",2018,"WallE","Alpha",215
"5YJXCAE25J","King","Redmond",2018,"WallE","Delta",238
"5YJ3E1EB7K","Clark","Brush Prairie",2019,"WallE","Alpha",220
"5YJXCAE23K","Kitsap","Suquamish",2019,"WallE","Delta",289
"5YJ3E1EA4J","King","Lake Forest Park",2018,"WallE","Alpha",215
"5YJ3E1EB4J","Kitsap","Poulsbo",2018,"WallE","Alpha",215
"5YJSA1E25J","Cowlitz","Longview",2018,"WallE","Beta",249
"5YJ3E1EB0J","King","Seattle",2018,"WallE","Alpha",215
"5YJRE11B98","King","Issaquah",2008,"WallE","Tau",220
"5YJ3E1EB8K","Clark","Vancouver",2019,"WallE","Alpha",220
"5YJSA1E23F","King","Seattle",2015,"WallE","Beta",208
"5YJSA1E22L","King","Issaquah",2020,"WallE","Beta",330
"5YJSA1DP2D","King","Shoreline",2013,"WallE","Beta",208
"5YJ3E1EB7K","King","Federal Way",2019,"WallE","Alpha",220
"5YJXCBE25H","King","Sammamish",2017,"WallE","Delta",200
"5YJ3E1EB9K","Clark","Vancouver",2019,"WallE","Alpha",220
"5YJ3E1EB8J","King","Maple Valley",2018,"WallE","Alpha",215
"5YJ3E1EA0K","King","Des Moines",2019,"WallE","Alpha",220
"5YJ3E1EB7L","King","Seattle",2020,"WallE","Alpha",322
"5YJXCBE25G","King","Federal Way",2016,"WallE","Delta",200
"5YJ3E1EC6L","Thurston","Lacey",2020,"WallE","Alpha",308
"5YJSA1H25E","King","Maple Valley",2014,"WallE","Beta",208
"5YJYGDEE6L","Snohomish","Bothell",2020,"WallE","Omega",291
"5YJXCBE20H","King","Kirkland",2017,"WallE","Delta",200
"5YJ3E1EA3L","King","Kent",2020,"WallE","Alpha",266
"5YJ3E1EB3K","King","Kenmore",2019,"WallE","Alpha",220
"5YJSA1CG1D","King","Seattle",2013,"WallE","Beta",208
"5YJXCBE29L","King","Sammamish",2020,"WallE","Delta",293
"5YJYGDEEXL","Clark","Vancouver",2020,"WallE","Omega",291
"5YJ3E1EA0K","King","Mercer Island",2019,"WallE","Alpha",220
"5YJXCDE26J","Snohomish","Bothell",2018,"WallE","Delta",238
"5YJ3E1EB9J","Snohomish","Bothell",2018,"WallE","Alpha",215
"5YJYGDEE6L","King","Shoreline",2020,"WallE","Omega",291
"5YJ3E1EA7L","King","Seattle",2020,"WallE","Alpha",266
"5YJXCAE22L","King","Sammamish",2020,"WallE","Delta",293
"5YJSA1H10F","Cowlitz","Longview",2015,"WallE","Beta",208
"5YJXCAE23K","King","Sammamish",2019,"WallE","Delta",289
"5YJSA1H12E","King","Federal Way",2014,"WallE","Beta",208
"5YJSA1E23H","King","Seattle",2017,"WallE","Beta",210
"5YJSA1E26K","Clark","Battle Ground",2019,"WallE","Beta",270
"5YJ3E1EAXL","King","Mercer Island",2020,"WallE","Alpha",266
"5YJ3E1EAXJ","King","Seattle",2018,"WallE","Alpha",215
"5YJYGDEE3L","King","Mercer Island",2020,"WallE","Omega",291
"5YJYGDEE5L","King","Seattle",2020,"WallE","Omega",291
"5YJ3E1EA0J","Yakima","Selah",2018,"WallE","Alpha",215
"5YJSA1E22G","King","Sammamish",2016,"WallE","Beta",210
"5YJ3E1EBXJ","King","Shoreline",2018,"WallE","Alpha",215
"5YJ3E1EB6K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB6L","Clark","Brush Prairie",2020,"WallE","Alpha",322
"5YJ3E1EB2K","King","Shoreline",2019,"WallE","Alpha",220
"5YJXCBE24G","Jefferson","Port Hadlock",2016,"WallE","Delta",200
"5YJXCDE47L","King","Kenmore",2020,"WallE","Delta",289
"5YJSA1S28F","King","Mercer Island",2015,"WallE","Beta",208
"5YJ3E1EB3K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EA3J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB5L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EB5J","King","Redmond",2018,"WallE","Alpha",215
"5YJYGDEF1L","Snohomish","Bothell",2020,"WallE","Omega",291
"5YJSA1E16G","Snohomish","Bothell",2016,"WallE","Beta",210
"5YJ3E1EB5K","King","Maple Valley",2019,"WallE","Alpha",220
"5YJ3E1EB2K","King","Federal Way",2019,"WallE","Alpha",220
"5YJ3E1EA3J","King","Redmond",2018,"WallE","Alpha",215
"5YJYGDEE3L","King","Sammamish",2020,"WallE","Omega",291
"5YJ3E1EB1J","King","Issaquah",2018,"WallE","Alpha",215
"5YJSA1E22J","King","Issaquah",2018,"WallE","Beta",249
"5YJ3E1EA8J","Kitsap","Poulsbo",2018,"WallE","Alpha",215
"5YJSA1CP2D","King","Federal Way",2013,"WallE","Beta",208
"5YJSA1E45F","King","Bellevue",2015,"WallE","Beta",208
"5YJ3E1EB6L","King","Seattle",2020,"WallE","Alpha",322
"5YJYGDEEXL","Clark","Vancouver",2020,"WallE","Omega",291
"5YJSA1E25F","King","Issaquah",2015,"WallE","Beta",208
"5YJ3E1EB4L","King","Sammamish",2020,"WallE","Alpha",322
"5YJXCAE27L","King","Redmond",2020,"WallE","Delta",293
"5YJ3E1EB4J","Snohomish","Lake Stevens",2018,"WallE","Alpha",215
"5YJ3E1EB7K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EA8K","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EB3J","King","Bellevue",2018,"WallE","Alpha",215
"5YJXCAE41L","Mason","Tahuya",2020,"WallE","Delta",289
"5YJ3E1EB7K","Clark","Brush Prairie",2019,"WallE","Alpha",220
"5YJ3E1EA1J","King","Bellevue",2018,"WallE","Alpha",215
"5YJSA1E25G","King","Vashon",2016,"WallE","Beta",210
"5YJ3E1EA9L","King","Maple Valley",2020,"WallE","Alpha",266
"5YJXCBE24J","King","Seattle",2018,"WallE","Delta",238
"5YJYGDEE6L","King","Renton",2020,"WallE","Omega",291
"5YJYGDEE6L","King","Federal Way",2020,"WallE","Omega",291
"5YJYGDEE4L","Yakima","Union Gap",2020,"WallE","Omega",291
"5YJ3E1EA5J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EAXL","King","Shoreline",2020,"WallE","Alpha",266
"5YJYGDEE9L","Thurston","Rochester",2020,"WallE","Omega",291
"5YJYGDEE1L","King","Sammamish",2020,"WallE","Omega",291
"5YJ3E1EB7K","King","Issaquah",2019,"WallE","Alpha",220
"5YJ3E1EB3J","King","Kenmore",2018,"WallE","Alpha",215
"5YJ3E1EA7J","King","Maple Valley",2018,"WallE","Alpha",215
"5YJSA1E16F","King","Sammamish",2015,"WallE","Beta",208
"5YJ3E1EB0K","Yakima","Yakima",2019,"WallE","Alpha",220
"5YJ3E1EB4K","King","Maple Valley",2019,"WallE","Alpha",220
"5YJSA1S24F","Clark","Camas",2015,"WallE","Beta",208
"5YJ3E1EA2L","King","Sammamish",2020,"WallE","Alpha",266
"5YJXCBE25J","King","Sammamish",2018,"WallE","Delta",238
"5YJ3E1EA4K","Clark","Camas",2019,"WallE","Alpha",220
"5YJ3E1EB2J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EA7J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB1L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EB6K","King","Renton",2019,"WallE","Alpha",220
"5YJXCBE20J","King","Redmond",2018,"WallE","Delta",238
"5YJ3E1EA5K","Kitsap","Bremerton",2019,"WallE","Alpha",220
"5YJ3E1EB8L","King","Seattle",2020,"WallE","Alpha",322
"5YJSA1H15E","King","Sammamish",2014,"WallE","Beta",208
"5YJ3E1EB5J","Yakima","Moxee",2018,"WallE","Alpha",215
"5YJ3E1EA5J","King","Renton",2018,"WallE","Alpha",215
"5YJSA1E27F","King","Sammamish",2015,"WallE","Beta",208
"5YJ3E1EB7L","King","Federal Way",2020,"WallE","Alpha",322
"5YJSA1E24G","King","Seattle",2016,"WallE","Beta",210
"5YJSA1E46J","King","Sammamish",2018,"WallE","Beta",249
"5YJ3E1EB0J","Thurston","Tenino",2018,"WallE","Alpha",215
"5YJ3E1EB4J","King","Renton",2018,"WallE","Alpha",215
"5YJ3E1EB3J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB2J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EA9L","Snohomish","Bothell",2020,"WallE","Alpha",266
"5YJSA1E21J","King","Bellevue",2018,"WallE","Beta",249
"5YJSA1E24H","King","Seattle",2017,"WallE","Beta",210
"5YJXCBE22J","King","Sammamish",2018,"WallE","Delta",238
"5YJ3E1EB6K","Benton","Richland",2019,"WallE","Alpha",220
"5YJSA1H16F","King","Mercer Island",2015,"WallE","Beta",208
"5YJSA1DP8D","Snohomish","Stanwood",2013,"WallE","Beta",208
"5YJ3E1EB6J","King","Mercer Island",2018,"WallE","Alpha",215
"5YJSA1E4XG","Clark","Camas",2016,"WallE","Beta",210
"5YJ3E1EB5J","King","Issaquah",2018,"WallE","Alpha",215
"5YJ3E1EA2J","Yakima","Naches",2018,"WallE","Alpha",215
"5YJ3E1EBXJ","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EA4K","King","Shoreline",2019,"WallE","Alpha",220
"5YJ3E1EB3L","Clark","Vancouver",2020,"WallE","Alpha",322
"5YJXCBE25L","Kitsap","Port Orchard",2020,"WallE","Delta",293
"5YJ3E1EA4K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB4K","King","Sammamish",2019,"WallE","Alpha",220
"5YJSA1E28G","Clark","Washougal",2016,"WallE","Beta",210
"5YJSA1S27F","King","Sammamish",2015,"WallE","Beta",208
"5YJ3E1EA0L","King","Issaquah",2020,"WallE","Alpha",266
"5YJ3E1EB8J","King","Bellevue",2018,"WallE","Alpha",215
"5YJSA1E27H","King","Issaquah",2017,"WallE","Beta",210
